"","symbol","date","open","high","low","close","volume","adjusted"
"127","CSGP",2024-11-18,71.3499984741211,73.4700012207031,70.7699966430664,73.3499984741211,3527400,73.3499984741211
"128","COST",2024-11-18,910.640014648438,925.940002441406,907.109985351562,919.510009765625,1797300,919.510009765625
"129","CTRA",2024-11-18,25.8099994659424,26.2700004577637,25.7199993133545,26.1200008392334,6002800,26.1200008392334
"130","CRWD",2024-11-18,339.970001220703,347.299987792969,336.75,342.970001220703,2384400,342.970001220703
"131","CCI",2024-11-18,103,104.769996643066,102.919998168945,104.589996337891,1580600,104.589996337891
"132","CSX",2024-11-18,35.3499984741211,35.4900016784668,34.9500007629395,34.9700012207031,7651900,34.9700012207031
"133","CMI",2024-11-18,362.029998779297,365.859985351562,361.660003662109,364.019989013672,476100,364.019989013672
"134","CVS",2024-11-18,53.7299995422363,56.7799987792969,53.4500007629395,56.0499992370605,18702700,56.0499992370605
"135","DHR",2024-11-18,230,230.729995727539,228.25,230.059997558594,3932700,230.059997558594
"136","DRI",2024-11-18,166.949996948242,168.190002441406,163.899993896484,164.449996948242,1112100,164.449996948242
"137","DVA",2024-11-18,160.380004882812,161.800003051758,156.990005493164,157.410003662109,940600,157.410003662109
"138","DAY",2024-11-18,74.6399993896484,75.129997253418,74.0899963378906,74.6500015258789,1154300,74.6500015258789
"139","DECK",2024-11-18,176.160003662109,178,174.039993286133,176.449996948242,1685800,176.449996948242
"140","DE",2024-11-18,396.209991455078,406.980010986328,396.140014648438,404.529998779297,1457300,404.529998779297
"141","DELL",2024-11-18,136.160003662109,138,134.470001220703,136.009994506836,6501800,136.009994506836
"142","DAL",2024-11-18,64.0800018310547,64.0800018310547,62.3800010681152,63.2400016784668,6628900,63.2400016784668
"143","DVN",2024-11-18,38.7999992370605,39.1699981689453,38.5,38.7700004577637,6574200,38.7700004577637
"144","DXCM",2024-11-18,75.879997253418,78.1600036621094,75.6900024414062,76.2699966430664,3898000,76.2699966430664
"145","FANG",2024-11-18,178.490005493164,183.649993896484,177.600006103516,181.899993896484,1967600,181.899993896484
"146","DLR",2024-11-18,179.399993896484,183.479995727539,178.979995727539,183.289993286133,2316400,183.289993286133
"147","DFS",2024-11-18,175.360000610352,176.600006103516,172.880004882812,173.220001220703,1068800,173.220001220703
"148","DG",2024-11-18,75.879997253418,78.6999969482422,75.879997253418,77.0899963378906,3251700,77.0899963378906
"149","DLTR",2024-11-18,64.629997253418,68.4800033569336,64.379997253418,66.5299987792969,4999100,66.5299987792969
"150","D",2024-11-18,57.2900009155273,58.2400016784668,57.0200004577637,57.7099990844727,4293400,57.7099990844727
"151","DPZ",2024-11-18,433.5,450.880004882812,433.5,444.899993896484,855500,444.899993896484
"152","DOV",2024-11-18,200.960006713867,201.889999389648,200.190002441406,200.529998779297,613600,200.529998779297
"153","DOW",2024-11-18,44.1599998474121,44.5499992370605,44.0400009155273,44.2200012207031,5075800,44.2200012207031
"154","DHI",2024-11-18,160.119995117188,163.020004272461,160.089996337891,161.449996948242,1958400,161.449996948242
"155","DTE",2024-11-18,119.669998168945,121.089996337891,119.319999694824,120.5,1552000,120.5
"156","DUK",2024-11-18,111.98999786377,113.680000305176,111.669998168945,113.540000915527,5030800,113.540000915527
"157","DD",2024-11-18,82.0599975585938,82.120002746582,81.3399963378906,81.8899993896484,1396400,81.8899993896484
"158","EMN",2024-11-18,102.629997253418,104.110000610352,102.51000213623,104.01000213623,1180600,104.01000213623
"159","ETN",2024-11-18,359.589996337891,361.230010986328,356.540008544922,357.829986572266,1611900,357.829986572266
"160","EBAY",2024-11-18,61.3899993896484,61.8699989318848,61.1300010681152,61.4099998474121,2731000,61.4099998474121
